AS_ID	PREDICATE	OBJECT
auditioncertificate_snl_3760_13_164r_n_1	object.manuscript_link	None
auditioncertificate_bnf_arabe_1289_225r_n_4	characteristics.copy	False
auditioncertificate_bnf_arabe_1289_225r_n_4	characteristics.type	qira
auditioncertificate_bnf_arabe_1289_225r_n_4	context.author_name	أبو الفرج طاهر بن محمد بن عبد الرحيم بن نباتة
auditioncertificate_bnf_arabe_1289_225r_n_4	context.author_viaf	None
auditioncertificate_bnf_arabe_1289_225r_n_4	context.work_title	خطبة النكاح
auditioncertificate_bnf_arabe_1289_225r_n_4	edit.amended_by	None
auditioncertificate_bnf_arabe_1289_225r_n_4	edit.date_status	finished
auditioncertificate_bnf_arabe_1289_225r_n_4	edit.editor	Said Aljoumani
auditioncertificate_bnf_arabe_1289_225r_n_4	edit.person_status	wip
auditioncertificate_bnf_arabe_1289_225r_n_4	edit.place_status	finished
auditioncertificate_bnf_arabe_1289_225r_n_4	edit.status	finished
auditioncertificate_bnf_arabe_1289_225r_n_4	object.audition_certificate_number	N. 4
auditioncertificate_bnf_arabe_1289_225r_n_4	object.catalog	None
auditioncertificate_bnf_arabe_1289_225r_n_4	object.classmark	Arabe 1289
auditioncertificate_bnf_arabe_1289_225r_n_4	object.folio_number	225r
auditioncertificate_bnf_arabe_1289_225r_n_4	object.image_link	https://gallica.bnf.fr/ark:/12148/btv1b11000775p/f232.highres
auditioncertificate_bnf_arabe_1289_225r_n_4	object.library	BNF
auditioncertificate_bnf_arabe_1289_225r_n_4	object.manuscript_link	https://gallica.bnf.fr/ark:/12148/btv1b11000775p/f232.item.r=%22Arabe%201289%22.zoom
auditioncertificate_bnf_suppl_turc_983_38r_n_3	characteristics.copy	False
auditioncertificate_bnf_suppl_turc_983_38r_n_3	characteristics.type	qira
auditioncertificate_bnf_suppl_turc_983_38r_n_3	context.author_name	None
auditioncertificate_bnf_suppl_turc_983_38r_n_3	context.author_viaf	None
auditioncertificate_bnf_suppl_turc_983_38r_n_3	context.work_title	جزء فيه ذكر من حدث عن النبي هو وأبوه
auditioncertificate_bnf_suppl_turc_983_38r_n_3	edit.amended_by	None
auditioncertificate_bnf_suppl_turc_983_38r_n_3	edit.editor	Said Aljoumani
auditioncertificate_bnf_suppl_turc_983_38r_n_3	edit.status	wip
auditioncertificate_bnf_suppl_turc_983_38r_n_3	object.audition_certificate_number	N. 3
auditioncertificate_bnf_suppl_turc_983_38r_n_3	object.catalog	None
auditioncertificate_bnf_suppl_turc_983_38r_n_3	object.classmark	Suppl Turc 983
auditioncertificate_bnf_suppl_turc_983_38r_n_3	object.folio_number	38r
auditioncertificate_bnf_suppl_turc_983_38r_n_3	object.image_link	https://gallica.bnf.fr/ark:/12148/btv1b10083812h/f40.highres
auditioncertificate_bnf_suppl_turc_983_38r_n_3	object.library	BNF
